"URINE CULTURE - 87086, 87088 (NCD)",
ABDOMINAL PAIN UNSPECIFIED,R10.9
ACUTE CYSTITIS WITHOUT HEMATURIA,N30.00
ACUTE CYSTITIS WITH HEMATURIA,N30.01
ALTERED MENTAL STATUS,R41.0
"BACKACHE, UNSPECIFIED",R50.9
BACTEREMIA,R78.81
BENIGN PROSTATIC HYPERPLASIA WITH LOWER URINARY TRACT SYMPTOMS,N40.1
DYSURIA,R30.0
"FEVER, UNSPECIFIED",R50.9
FREQUENCY OF MICTURITION,R35.0
GROSS HEMATURIA,R31.0
"HEMATURIA, UNSPECIFIED",R31.9
MALAISE,R53.81
MEMORY LOSS,R41.3
NOCTURIA,R35.1
NONSPECIFIC FINDINGS ON EXAM OF URINE,R82.99
OTHER ABNORMAL FINDINGS IN URINE,R82.998
OTHER FATIGUE,R53.83
OTHER LONG-TERM CURRENT DRUG THERAPY,Z79.899
PAINFUL MICTURITION UNSPECIFIED,R30.9
"PROTEINURIA, UNSPECIFIED",R80.9
"SEPTICEMIA, UNSPECIFIED",A41.9
UNSPECIFIED ABNORMAL FINDINGS IN URINE,R82.90
UNSPECIFIED SYMPTOMS & SIGNS INVOLVING THE GENITOURINARY SYSTEM,R39.9
URGENCY OF URINATION,R39.15
URINARY TRACT INFECTION (UTI),N39.0
VITAMIN B12 - 82607,
"ABNORMAL GAIT, UNSPECIFIED",R26.9
"ANEMIA, UNSPECIFIED",D64.9
"ANEMIA, NUTRITIONAL UNSPECIFIED",D53.9
"DEMENTIA, UNSPECIFIED",F03.90
ENCOUNTER FOR THERAPEUTIC DRUG MONITORING,Z51.81
FATIGUE,R53.83
"LACK OF COORDINATION, UNSPECIFIED",R27.9
MALAISE,R53.81
MEMORY LOSS,R41.3
"NUMBNESS, SKIN",R20.0
OTHER B-COMPLEX DEFICIENCIES,E53.8
OTHER LONG-TERM CURRENT DRUG THERAPY,Z79.899
"PERIPHERAL NEUROPATHY, UNSPECIFIED",G62.9
PERNICIOUS ANEMIA,D51.0
"VITAMIN B DIFICIENCY, UNSPECIFIED",E53.9
UNSPECIFIED NUTRITIONAL DEFICIENCY,E63.9
"VITAMIN D-25 HYDROXY - 82306, 82652 (NCD)",
AGE RELATED OSTEOPOROSIS WITHOUT CURRENT PATHOLOGICAL FRACTURE,M81.9
,
,
,
CELIAC DISEASE,K90.0
CHRONIC KIDNEY DISEASE STAGE III,N18.3
CHRONIC KIDNEY DISEASE STAGE IV,N18.4
CHRONIC KIDNEY DISEASE STAGE V,N18.5
"CROHN'S DISEASE, UNSPECIFIED WITHOUT COMPLICATIONS",K50.90
"DISORDER OF BONE, UNSPECIFIED",M89.9
DISORDER OF PHOSPHORUS METABOLISM UNSPECIFIED,E83.30
END STAGE RENAL DISEASE,N18.6
HYPERPARATHYROIDISM,E20.9
HYPOCALCEMIA,E83.51
HYPERCALCEMIA,E83.52
INTESTINAL MALABSORPTION UNSPECIFIED,K90.9
LIVER DISEASE UNSPECIFIED,K76.9
LONG TERM CURRENT USE OF INSULIN,Z79.4
MORBID OBESITY,E66.01
OTHER LONG-TERM CURRENT DRUG THERAPY,Z79.899
OTHER OBESITY DUE TO EXCESS CALORIES,E66.09
OTHER OSTEOPOROSIS,M81.8
"OSTEOPOROSIS, UNSPECIFIED",M81.0
OTHER SEVERE PROTEIN-CALORIE MALNUTRITION,E43
OTHER SPECIFIED DISORDERS OF BONE DENSITY AND STRUCTURE MULTIPLE SITES,M85.80
OTHER OBESITY,E66.8
PRIMARY HYPERPARATHYROIDISM,E21.0
"PSORIASIS, UNSPECIFIED",L40.9
"SECONDARY HYPERPARATHYROIDISM, NOS",E21.1
"VITAMIN D DEFICIENCY, UNSPECIFIED",E55.9
