diseaseId2	diseaseId1	source	Ngenes	NgenesD1	NgenesD2	union_genes	jaccard_genes	Nvariants	NvariantsD1	NvariantsD2	union_variant	jaccard_variant	diseaseId1_name	diseaseId2_name
591805	C0684275	C0030805	CURATED	0	0	0	0	0	2	2	2	2	1	Bullous pemphigoid	Hemophilia, NOS
595663	C0700379	C1283048	CURATED	0	0	0	0	0	35	35	35	35	1	Iron binding capacity total measurement	Total iron binding capacity function
597188	C0730303	C4024223	CURATED	0	0	0	0	0	1	1	1	1	1	Spinal hemangioblastoma	Capillary hemangioma of retina
600476	C0740927	C4225247	CURATED	0	0	0	0	0	1	1	1	1	1	LEUKODYSTROPHY, HYPOMYELINATING, 12	Elevated maternal serum alpha-fetoprotein
601222	C0743360	C0266030	CURATED	0	0	0	0	0	1	1	1	1	1	Supernumerary mesiodens tooth	Recurrent ear infections
601228	C0743360	C0426816	CURATED	0	0	0	0	0	1	1	1	1	1	Absence of rib	Recurrent ear infections
601261	C0743360	C4021194	CURATED	0	0	0	0	0	1	1	1	1	1	Underdeveloped inferior crus of antihelix	Recurrent ear infections
601262	C0743360	C4021824	CURATED	0	0	0	0	0	1	1	1	1	1	Postaxial polysyndactyly of foot	Recurrent ear infections
601267	C0743924	C0018564	CURATED	0	0	0	0	0	2	2	2	2	1	Hand deformities	Short fetal femur length
601273	C0743924	C0345371	CURATED	0	0	0	0	0	2	3	2	3	0.666666666666667	Hypoplasia of lower limb	Short fetal femur length
601277	C0743924	C0549306	CURATED	0	0	0	0	0	2	3	2	3	0.666666666666667	Mesomelia	Short fetal femur length
601282	C0743924	C1837406	CURATED	0	0	0	0	0	2	3	2	3	0.666666666666667	Hypoplasia involving bones of the upper limbs	Short fetal femur length
601286	C0743924	C1842153	CURATED	0	0	0	0	0	2	2	2	2	1	Irregular vertebral endplates	Short fetal femur length
601289	C0743924	C1863008	CURATED	0	0	0	0	0	2	2	2	2	1	Yellow-brown discoloration of the teeth	Short fetal femur length
601294	C0743924	C2673654	CURATED	0	0	0	0	0	2	2	2	2	1	Rhizo-meso-acromelic limb shortening	Short fetal femur length
601300	C0743924	C4023675	CURATED	0	0	0	0	0	2	2	2	2	1	Acromelia	Short fetal femur length
602539	C0748473	C0008373	CURATED	0	0	0	0	0	1	1	1	1	1	Cholesteatoma	Arthritis, Sacroiliac
602554	C0748473	C0263870	CURATED	0	0	0	0	0	1	1	1	1	1	Narrowing of intervertebral disc space	Arthritis, Sacroiliac
602868	C0750880	C0200637	CURATED	0	0	0	0	0	296	296	296	296	1	Monocyte count procedure	Monocyte count result
607144	C0750929	C0239574	CURATED	0	0	0	0	0	1	1	1	1	1	Low grade fever	Arnold-Chiari Malformation, Type I
607175	C0750929	C1857657	CURATED	0	0	0	0	0	1	1	1	1	1	Reduced subcutaneous adipose tissue	Arnold-Chiari Malformation, Type I
607183	C0750929	C3554538	CURATED	0	0	0	0	0	1	1	1	1	1	Persistent lactic acidosis	Arnold-Chiari Malformation, Type I
615082	C0751038	C0220722	CURATED	2	4	3	5	0.4	47	53	69	75	0.626666666666667	Cerebrooculofacioskeletal Syndrome 1	Cockayne Syndrome, Type II
615086	C0751038	C0265201	CURATED	1	1	3	3	0.333333333333333	50	51	69	70	0.714285714285714	De Sanctis-Cacchione syndrome	Cockayne Syndrome, Type II
633686	C0751330	C0014549	CURATED	0	0	0	0	0	1	1	1	1	1	Tonic-Clonic Epilepsy	Unilateral Hypotonia
639818	C0751470	C0022602	CURATED	0	0	0	0	0	2	2	2	2	1	Actinic keratosis	Palmo-Mental Reflex
639870	C0751470	C0234378	CURATED	0	0	0	0	0	2	3	2	3	0.666666666666667	Static Tremor	Palmo-Mental Reflex
639890	C0751470	C0271390	CURATED	0	0	0	0	0	2	2	2	2	1	Nystagmus, End-Position	Palmo-Mental Reflex
639963	C0751470	C1843369	CURATED	0	0	0	0	0	2	2	2	2	1	Vertical supranuclear gaze palsy	Palmo-Mental Reflex
639964	C0751470	C1843885	CURATED	0	0	0	0	0	2	3	2	3	0.666666666666667	Progressive gait ataxia	Palmo-Mental Reflex
639978	C0751470	C3665596	CURATED	0	0	0	0	0	2	3	2	3	0.666666666666667	Warts	Palmo-Mental Reflex
664209	C0752323	C0752324	CURATED	0	0	0	0	0	1	1	1	1	1	Focal Tonic Seizures	Focal Clonic Seizures
664225	C0752324	C0752323	CURATED	0	0	0	0	0	1	1	1	1	1	Focal Clonic Seizures	Focal Tonic Seizures
665630	C0795915	C4024220	CURATED	0	0	0	0	0	1	1	1	1	1	Hypomelanotic macule	Winter Shortland Temple syndrome
665664	C0795934	C3550704	CURATED	0	0	0	0	0	8	9	11	12	0.666666666666667	Abnormality of digit	Digitorenocerebral Syndrome
665929	C0795998	C2936791	CURATED	1	2	2	3	0.333333333333333	9	10	15	16	0.5625	Antley-Bixler Syndrome, Autosomal Dominant	JACKSON-WEISS SYNDROME
667592	C0813217	C0234379	CURATED	0	0	0	0	0	1	1	1	1	1	Resting Tremor	Expressionless face
667876	C0836924	C0037293	CURATED	0	0	0	0	0	1	1	1	1	1	Skin tag	Thrombocytosis
667894	C0836924	C0409346	CURATED	0	0	0	0	0	1	1	1	1	1	Contracture of joint of thumb	Thrombocytosis
667909	C0836924	C1833326	CURATED	0	0	0	0	0	1	1	1	1	1	Generalized bone demineralization	Thrombocytosis
669298	C0853087	C0235942	CURATED	0	0	0	0	0	8	9	11	12	0.666666666666667	Abnormality of the skull	Nail abnormality
669315	C0853087	C0795934	CURATED	0	0	0	0	0	8	11	11	14	0.571428571428571	Digitorenocerebral Syndrome	Nail abnormality
669336	C0853087	C3550704	CURATED	0	0	0	0	0	8	9	11	12	0.666666666666667	Abnormality of digit	Nail abnormality
670635	C0855742	C1968565	CURATED	0	0	0	0	0	1	1	1	1	1	Numerous pigmented freckles	Abnormal platelet morphology
670636	C0855742	C4022866	CURATED	0	0	0	0	0	1	1	1	1	1	Abnormal platelet shape	Abnormal platelet morphology
670731	C0856761	C2675105	CURATED	0	0	0	0	0	1	1	1	1	1	BUDD-CHIARI SYNDROME, SUSCEPTIBILITY TO, SOMATIC	Budd-Chiari Syndrome
670736	C0856761	C3281125	CURATED	1	1	2	2	0.5	1	1	1	1	1	THROMBOCYTHEMIA 3	Budd-Chiari Syndrome
671536	C0857490	C0200633	CURATED	0	0	0	0	0	141	234	150	243	0.580246913580247	Neutrophil count (procedure)	Granulocyte count
672515	C0858613	C4225670	CURATED	0	0	0	0	0	1	1	1	1	1	ANHIDROSIS, FAMILIAL GENERALIZED, WITH ABNORMAL OR ABSENT SWEAT GLANDS	Optic nerve oedema
672611	C0858617	C4021387	CURATED	0	0	0	0	0	1	1	1	1	1	Abnormality of upper limb joint	Posterior subcapsular cataract
672612	C0858617	C4022454	CURATED	0	0	0	0	0	1	1	1	1	1	Abnormality of upper limb bone	Posterior subcapsular cataract
677047	C0878787	C1855790	CURATED	0	0	0	0	0	1	1	1	1	1	Hepatic glycogen storage	Growth failure
683028	C0919677	C1168438	CURATED	0	0	0	0	0	522	522	522	522	1	Protein C antigen measurement	Protein C measurement
683059	C0919758	C0523979	CURATED	0	0	0	0	0	51	51	51	51	1	Vitamin D3 measurement	Vitamin D measurement
687402	C0950122	C0206115	CURATED	1	3	1	3	0.333333333333333	9	11	15	17	0.529411764705882	WAGR Syndrome	Frasier Syndrome
692214	C1142132	C1844946	CURATED	0	0	0	0	0	1	1	1	1	1	Episodic hypoventilation	Carnitine deficiency
692217	C1142132	C1866180	CURATED	0	0	0	0	0	1	1	1	1	1	Horizontal pendular nystagmus	Carnitine deficiency
692456	C1142277	C0015190	CURATED	0	0	0	0	0	1	1	1	1	1	Euthyroid Sick Syndromes	Brown urine
692460	C1142277	C0021141	CURATED	0	0	0	0	0	1	1	1	1	1	Inappropriate ADH Syndrome	Brown urine
692462	C1142277	C0030446	CURATED	0	0	0	0	0	1	1	1	1	1	Paralytic Ileus	Brown urine
692464	C1142277	C0035232	CURATED	0	0	0	0	0	1	1	1	1	1	Respiratory Paralysis	Brown urine
692472	C1142277	C0338614	CURATED	0	0	0	0	0	1	1	1	1	1	Psychotic episodes	Brown urine
693284	C1167918	C0232940	CURATED	0	0	0	0	0	1	1	1	1	1	Secondary physiologic amenorrhea	Increased CSF lactate
694409	C1184919	C0685381	CURATED	0	0	0	0	0	3	3	4	4	0.75	Congenital hypoplasia of radius	Thoracic kyphosis
694417	C1184919	C1609528	CURATED	0	0	0	0	0	4	6	4	6	0.666666666666667	Restrictive deficit on pulmonary function testing	Thoracic kyphosis
694438	C1184919	C1859292	CURATED	0	0	0	0	0	3	3	4	4	0.75	Triangular-shaped open mouth	Thoracic kyphosis
694442	C1184919	C1861331	CURATED	0	0	0	0	0	3	3	4	4	0.75	Limited pronation/supination of forearm	Thoracic kyphosis
694447	C1184919	C1968606	CURATED	0	0	0	0	0	3	4	4	5	0.6	Limited knee flexion/extension	Thoracic kyphosis
694467	C1184919	C4023918	CURATED	0	0	0	0	0	3	4	4	5	0.6	Short hard palate	Thoracic kyphosis
699381	C1260959	C0410652	CURATED	0	0	0	0	0	1	1	1	1	1	Cervical spine instability	Drusen
699393	C1261175	C4540164	CURATED	0	0	0	0	0	3	4	3	4	0.75	PONTOCEREBELLAR HYPOPLASIA, TYPE 11	Pontoneocerebellar hypoplasia
699395	C1261287	C0333188	CURATED	0	0	0	0	0	1	1	1	1	1	Stricture obstruction	Stenosis
699396	C1261287	C0333189	CURATED	0	0	0	0	0	1	1	1	1	1	Cicatricial stenosis	Stenosis
699397	C1261287	C0333190	CURATED	0	0	0	0	0	1	1	1	1	1	Fibrous stenosis	Stenosis
706113	C1270972	C4285693	CURATED	0	0	0	0	0	2	3	2	3	0.666666666666667	HIV-associated neurocognitive disorder	Mild cognitive disorder
706197	C1273957	C1837458	CURATED	0	0	0	0	0	1	1	1	1	1	Impaired smooth pursuit	Upper limb spasticity
706200	C1273957	C1846151	CURATED	0	0	0	0	0	1	1	1	1	1	Widened subarachnoid space	Upper limb spasticity
706203	C1273957	C1859339	CURATED	0	0	0	0	0	1	1	1	1	1	Midfrontal capillary hemangioma	Upper limb spasticity
706212	C1273957	C4072950	CURATED	0	0	0	0	0	1	1	1	1	1	Abnormal timing of pattern reversal visual evoked potentials	Upper limb spasticity
706222	C1274700	C4255374	CURATED	0	0	0	0	0	13	13	13	13	1	Frontal fibrosing alopecia	Postmenopausal frontal fibrosing alopecia
708183	C1287351	C0428321	CURATED	0	0	0	0	0	10	10	10	10	1	Measurement of liver enzyme	Finding of liver enzyme levels
708550	C1304746	C0427460	CURATED	0	0	0	0	0	988	988	988	988	1	Red cell distribution width determination	RDW - Red blood cell distribution width result
710015	C1314664	C0019029	CURATED	0	0	0	0	0	8	8	8	8	1	Hemoglobin concentration result	Dipstick assessment of hemoglobin concentration
710016	C1314664	C1318517	CURATED	0	0	0	0	0	8	8	8	8	1	Finding of hemoglobin concentration	Dipstick assessment of hemoglobin concentration
710163	C1318233	C1446147	CURATED	0	0	0	0	0	4	4	4	4	1	IgG Index (procedure)	immunoglobulin G index
710319	C1318973	C0038160	CURATED	5	5	5	5	1	4	4	4	4	1	Staphylococcal Infections	Staphylococcus aureus infection
710462	C1319315	C0007102	CURATED	11	159	96	244	0.0450819672131148	371	416	420	465	0.797849462365591	Malignant tumor of colon	Adenocarcinoma of large intestine
710499	C1319315	C0009404	CURATED	24	277	96	349	0.0687679083094556	371	586	420	635	0.584251968503937	Colorectal Neoplasms	Adenocarcinoma of large intestine
710976	C1319315	C0346629	CURATED	0	0	0	0	0	368	375	420	427	0.861826697892272	Malignant neoplasm of large intestine	Adenocarcinoma of large intestine
711534	C1325327	C1561955	CURATED	0	0	0	0	0	63	63	63	63	1	Fibrinogen, CTCAE	fibrinogen activity
714257	C1335168	C0008073	CURATED	0	0	0	0	0	1	1	1	1	1	Developmental Disabilities	Ovarian mucinous tumor
715655	C1337013	C0238463	CURATED	0	0	0	0	0	7	12	8	13	0.538461538461538	Papillary thyroid carcinoma	Differentiated Thyroid Gland Carcinoma
715658	C1367420	C0085653	CURATED	0	0	0	0	0	1	1	1	1	1	Pyogenic granuloma	Kaposiform Hemangioendothelioma
715674	C1367972	C0024528	CURATED	0	0	0	0	0	1	1	1	1	1	Malaise and fatigue	Phlebitis and thrombophlebitis
715680	C1367972	C0085096	CURATED	0	0	0	0	0	1	1	1	1	1	Peripheral Vascular Diseases	Phlebitis and thrombophlebitis
715681	C1367972	C0494479	CURATED	0	0	0	0	0	1	1	1	1	1	Other headache syndrome	Phlebitis and thrombophlebitis
715682	C1367972	C0546817	CURATED	0	0	0	0	0	1	1	1	1	1	Fluid overload	Phlebitis and thrombophlebitis
715691	C1368019	C0029401	CURATED	0	0	0	0	0	16	16	16	16	1	Osteitis Deformans	Paget Disease
716626	C1383860	C0018800	CURATED	82	82	82	82	1	10	11	11	12	0.833333333333333	Cardiomegaly	Cardiac Hypertrophy
721503	C1456852	C1846868	CURATED	0	0	0	0	0	2	2	3	3	0.666666666666667	Parkinsonism with favorable response to dopaminergic medication	Ventouse delivery (finding)
730885	C1535978	C3808022	CURATED	0	0	0	0	0	2	3	2	3	0.666666666666667	Episodic abdominal pain	Hyperchylomicronemia
730914	C1536500	C0220982	CURATED	0	0	0	0	0	26	26	29	29	0.896551724137931	Ketoacidosis	Deficiency of acetyl-CoA acetyltransferase
731320	C1561955	C1325327	CURATED	0	0	0	0	0	63	63	63	63	1	fibrinogen activity	Fibrinogen, CTCAE
734459	C1568247	C1838701	CURATED	1	1	6	6	0.166666666666667	115	135	166	186	0.618279569892473	DEAFNESS, AUTOSOMAL RECESSIVE 2	Usher Syndrome, Type I
735404	C1609528	C1184919	CURATED	0	0	0	0	0	4	4	6	6	0.666666666666667	Thoracic kyphosis	Restrictive deficit on pulmonary function testing
736371	C1622502	C0023891	CURATED	0	0	0	0	0	4	4	4	4	1	Liver Cirrhosis, Alcoholic	Portal cirrhosis
737447	C1697450	C0566899	CURATED	0	0	0	0	0	2	3	2	3	0.666666666666667	Small labia majora	obsolete Prominent epicanthal folds
737474	C1698196	C0004239	CURATED	0	0	0	0	0	2	2	3	3	0.666666666666667	Atrial Flutter	Muscle Weakness Upper Limb
737495	C1698196	C0340477	CURATED	0	0	0	0	0	2	2	3	3	0.666666666666667	Re-entrant atrioventricular tachycardia	Muscle Weakness Upper Limb
737515	C1698196	C3805969	CURATED	0	0	0	0	0	2	2	3	3	0.666666666666667	Scapular muscle atrophy	Muscle Weakness Upper Limb
737516	C1698196	C4021054	CURATED	0	0	0	0	0	2	2	3	3	0.666666666666667	Reduced muscle collagen VI	Muscle Weakness Upper Limb
737520	C1698196	C4023223	CURATED	0	0	0	0	0	2	2	3	3	0.666666666666667	Atrial reentry tachycardia	Muscle Weakness Upper Limb
738118	C1704272	C0574785	CURATED	0	0	0	0	0	22	23	29	30	0.733333333333333	Lower Urinary Tract Symptoms	Benign Prostatic Hyperplasia
741764	C1720824	C0085298	CURATED	5	8	8	11	0.454545454545455	31	40	32	41	0.75609756097561	Sudden Cardiac Death	Sudden Cardiac Arrest
743042	C1832243	C1861864	CURATED	1	1	1	1	1	22	30	24	32	0.6875	Cardiomyopathy, Familial Hypertrophic, 2	CARDIOMYOPATHY, DILATED, 1D (disorder)
743046	C1832243	C2676271	CURATED	1	1	1	1	1	21	21	24	24	0.875	CARDIOMYOPATHY, FAMILIAL RESTRICTIVE, 3 (disorder)	CARDIOMYOPATHY, DILATED, 1D (disorder)
743056	C1832250	C1832251	CURATED	0	0	0	0	0	1	1	1	1	1	BODY MASS INDEX, MODIFIER OF	OBESITY, MODIFIER OF
743057	C1832250	C1832253	CURATED	0	0	0	0	0	1	1	1	1	1	INTIMAL MEDIAL THICKNESS OF INTERNAL CAROTID ARTERY, MODIFIER OF	OBESITY, MODIFIER OF
743058	C1832250	C4016735	CURATED	0	0	0	0	0	1	1	1	1	1	DIABETES MELLITUS, NONINSULIN-DEPENDENT, MODIFIER OF	OBESITY, MODIFIER OF
743059	C1832251	C1832250	CURATED	0	0	0	0	0	1	1	1	1	1	OBESITY, MODIFIER OF	BODY MASS INDEX, MODIFIER OF
743060	C1832251	C1832253	CURATED	0	0	0	0	0	1	1	1	1	1	INTIMAL MEDIAL THICKNESS OF INTERNAL CAROTID ARTERY, MODIFIER OF	BODY MASS INDEX, MODIFIER OF
743061	C1832251	C4016735	CURATED	0	0	0	0	0	1	1	1	1	1	DIABETES MELLITUS, NONINSULIN-DEPENDENT, MODIFIER OF	BODY MASS INDEX, MODIFIER OF
743062	C1832253	C1832250	CURATED	0	0	0	0	0	1	1	1	1	1	OBESITY, MODIFIER OF	INTIMAL MEDIAL THICKNESS OF INTERNAL CAROTID ARTERY, MODIFIER OF
743063	C1832253	C1832251	CURATED	0	0	0	0	0	1	1	1	1	1	BODY MASS INDEX, MODIFIER OF	INTIMAL MEDIAL THICKNESS OF INTERNAL CAROTID ARTERY, MODIFIER OF
743064	C1832253	C4016735	CURATED	0	0	0	0	0	1	1	1	1	1	DIABETES MELLITUS, NONINSULIN-DEPENDENT, MODIFIER OF	INTIMAL MEDIAL THICKNESS OF INTERNAL CAROTID ARTERY, MODIFIER OF
743140	C1832342	C4024613	CURATED	0	0	0	0	0	1	1	1	1	1	Progressive distal muscular atrophy	Talipes cavus equinovarus
743159	C1832348	C0423823	CURATED	0	0	0	0	0	1	1	1	1	1	Thin nails	Slow-growing hair
743160	C1832348	C0423867	CURATED	0	0	0	0	0	1	1	1	1	1	Fine hair	Slow-growing hair
743170	C1832348	C1835238	CURATED	0	0	0	0	0	1	1	1	1	1	Slow-growing nails	Slow-growing hair
743173	C1832348	C1844709	CURATED	0	0	0	0	0	1	1	1	1	1	Radial deviation of the 2nd finger	Slow-growing hair
743175	C1832348	C1844891	CURATED	0	0	0	0	0	1	1	1	1	1	Ulnar deviation of the 2nd finger	Slow-growing hair
743192	C1832348	C1873509	CURATED	0	0	0	0	0	1	1	1	1	1	Hypotrichosis of the scalp	Slow-growing hair
743194	C1832348	C4025078	CURATED	0	0	0	0	0	1	1	1	1	1	Tapering pointed ends of distal finger phalanges	Slow-growing hair
744652	C1834696	C1836835	CURATED	0	0	0	0	0	1	1	1	1	1	Hyporeflexia of upper limbs	Hyporeflexia of lower limbs
744653	C1834696	C1837650	CURATED	0	0	0	0	0	1	1	1	1	1	Lack of spontaneous play	Hyporeflexia of lower limbs
744657	C1834696	C1856477	CURATED	0	0	0	0	0	1	1	1	1	1	Slowed horizontal saccades	Hyporeflexia of lower limbs
744658	C1834696	C3552821	CURATED	0	0	0	0	0	1	1	1	1	1	EEG with photoparoxysmal response	Hyporeflexia of lower limbs
744692	C1834711	C0018553	CURATED	0	0	0	0	0	56	107	56	107	0.523364485981308	Hamartoma Syndrome, Multiple	CEREBELLOPARENCHYMAL DISORDER VI
744729	C1834711	C0391826	CURATED	0	0	0	0	0	56	58	56	58	0.96551724137931	Lhermitte-Duclos disease	CEREBELLOPARENCHYMAL DISORDER VI
744747	C1834711	C1834712	CURATED	0	0	0	0	0	56	56	56	56	1	Cerebellar Granule Cell Hypertrophy and Megalencephaly	CEREBELLOPARENCHYMAL DISORDER VI
744753	C1834711	C1866376	CURATED	0	0	0	0	0	56	56	56	56	1	Pten Hamartoma Tumor Syndrome With Granular Cell Tumor	CEREBELLOPARENCHYMAL DISORDER VI
744754	C1834711	C1866398	CURATED	0	0	0	0	0	56	56	56	56	1	Proteus-Like Syndrome (disorder)	CEREBELLOPARENCHYMAL DISORDER VI
744782	C1834712	C0018553	CURATED	0	0	0	0	0	56	107	56	107	0.523364485981308	Hamartoma Syndrome, Multiple	Cerebellar Granule Cell Hypertrophy and Megalencephaly
744819	C1834712	C0391826	CURATED	0	0	0	0	0	56	58	56	58	0.96551724137931	Lhermitte-Duclos disease	Cerebellar Granule Cell Hypertrophy and Megalencephaly
744837	C1834712	C1834711	CURATED	0	0	0	0	0	56	56	56	56	1	CEREBELLOPARENCHYMAL DISORDER VI	Cerebellar Granule Cell Hypertrophy and Megalencephaly
744843	C1834712	C1866376	CURATED	0	0	0	0	0	56	56	56	56	1	Pten Hamartoma Tumor Syndrome With Granular Cell Tumor	Cerebellar Granule Cell Hypertrophy and Megalencephaly
744844	C1834712	C1866398	CURATED	0	0	0	0	0	56	56	56	56	1	Proteus-Like Syndrome (disorder)	Cerebellar Granule Cell Hypertrophy and Megalencephaly
744882	C1834737	C1837503	CURATED	0	0	0	0	0	1	1	1	1	1	Small cerebral cortex	Cutaneous syndactyly of toes
744890	C1834737	C1860475	CURATED	0	0	0	0	0	1	1	1	1	1	Retinal vascular tortuosity	Cutaneous syndactyly of toes
744898	C1834737	C4021041	CURATED	0	0	0	0	0	1	1	1	1	1	Maternal fever in pregnancy	Cutaneous syndactyly of toes
744899	C1834737	C4022561	CURATED	0	0	0	0	0	1	1	1	1	1	Maternal first trimester fever	Cutaneous syndactyly of toes
744900	C1834737	C4022733	CURATED	0	0	0	0	0	1	1	1	1	1	Widened cerebral subarachnoid space	Cutaneous syndactyly of toes
744907	C1834750	C1834751	CURATED	0	0	0	0	0	1	1	1	1	1	CORONARY ARTERY DISEASE, DEVELOPMENT OF, IN HIV	CORONARY ARTERY DISEASE, MODIFIER OF
744909	C1834750	C4016263	CURATED	0	0	0	0	0	1	1	1	1	1	SPINA BIFIDA, SUSCEPTIBILITY TO	CORONARY ARTERY DISEASE, MODIFIER OF
744910	C1834751	C1834750	CURATED	0	0	0	0	0	1	1	1	1	1	CORONARY ARTERY DISEASE, MODIFIER OF	CORONARY ARTERY DISEASE, DEVELOPMENT OF, IN HIV
744912	C1834751	C4016263	CURATED	0	0	0	0	0	1	1	1	1	1	SPINA BIFIDA, SUSCEPTIBILITY TO	CORONARY ARTERY DISEASE, DEVELOPMENT OF, IN HIV
745671	C1835054	C2751296	CURATED	0	0	0	0	0	2	2	3	3	0.666666666666667	INCREASED ANALGESIA FROM KAPPA-OPIOID RECEPTOR AGONIST, FEMALE-SPECIFIC (disorder)	OCULOCUTANEOUS ALBINISM, TYPE II, MODIFIER OF
745701	C1835194	C0158465	CURATED	0	0	0	0	0	1	1	1	1	1	Acquired cubitus valgus	Thick corpus callosum
745720	C1835194	C1840309	CURATED	0	0	0	0	0	1	1	1	1	1	Short 4th metacarpal	Thick corpus callosum
745726	C1835194	C1859923	CURATED	0	0	0	0	0	1	1	1	1	1	Freckles in sun-exposed areas	Thick corpus callosum
745732	C1835194	C4025870	CURATED	0	0	0	0	0	1	1	1	1	1	Abnormality of the mandible	Thick corpus callosum
745772	C1835238	C0423823	CURATED	0	0	0	0	0	1	1	1	1	1	Thin nails	Slow-growing nails
745773	C1835238	C0423867	CURATED	0	0	0	0	0	1	1	1	1	1	Fine hair	Slow-growing nails
745781	C1835238	C1832348	CURATED	0	0	0	0	0	1	1	1	1	1	Slow-growing hair	Slow-growing nails
745786	C1835238	C1844709	CURATED	0	0	0	0	0	1	1	1	1	1	Radial deviation of the 2nd finger	Slow-growing nails
745788	C1835238	C1844891	CURATED	0	0	0	0	0	1	1	1	1	1	Ulnar deviation of the 2nd finger	Slow-growing nails
745805	C1835238	C1873509	CURATED	0	0	0	0	0	1	1	1	1	1	Hypotrichosis of the scalp	Slow-growing nails
745807	C1835238	C4025078	CURATED	0	0	0	0	0	1	1	1	1	1	Tapering pointed ends of distal finger phalanges	Slow-growing nails
745936	C1835437	C0432214	CURATED	1	1	1	1	1	3	4	4	5	0.6	Namaqualand hip dysplasia	Platyspondylic Lethal Skeletal Dysplasia, Torrance Type
745952	C1835437	C1836683	CURATED	1	1	1	1	1	3	4	4	5	0.6	Czech dysplasia, metatarsal type	Platyspondylic Lethal Skeletal Dysplasia, Torrance Type
745955	C1835437	C1851536	CURATED	1	1	1	1	1	3	4	4	5	0.6	Epiphyseal Dysplasia, Multiple, with Myopia and Conductive Deafness	Platyspondylic Lethal Skeletal Dysplasia, Torrance Type
746066	C1835570	C4023385	CURATED	0	0	0	0	0	1	1	1	1	1	Aplasia of the semicircular canal	Hypoplastic cervical vertebrae
746067	C1835570	C4025857	CURATED	0	0	0	0	0	1	1	1	1	1	Incomplete partition of the cochlea type II	Hypoplastic cervical vertebrae
746121	C1835686	C0040261	CURATED	0	0	0	0	0	1	1	1	1	1	Onychomycosis	Recurrent bacterial skin infections
746125	C1835686	C1860128	CURATED	0	0	0	0	0	1	1	1	1	1	Recurrent candida infections	Recurrent bacterial skin infections
746126	C1835686	C2673462	CURATED	0	0	0	0	0	1	1	1	1	1	Recurrent Staphylococcus aureus infections	Recurrent bacterial skin infections
746804	C1835896	C3280168	CURATED	1	1	1	1	1	19	19	22	22	0.863636363636364	NEUROPATHY, HEREDITARY SENSORY, TYPE IIC	SPASTIC PARAPLEGIA 30, AUTOSOMAL RECESSIVE (disorder)
746805	C1835896	C3280283	CURATED	1	1	1	1	1	22	37	22	37	0.594594594594595	MENTAL RETARDATION, AUTOSOMAL DOMINANT 9	SPASTIC PARAPLEGIA 30, AUTOSOMAL RECESSIVE (disorder)
746898	C1835993	C0333759	CURATED	0	0	0	0	0	1	1	1	1	1	Muscle fiber hypertrophy	Loss of ability to walk in early childhood
746920	C1835993	C3805692	CURATED	0	0	0	0	0	1	1	1	1	1	Hyperpigmented nevi and streak	Loss of ability to walk in early childhood
747019	C1836206	C4021785	CURATED	0	0	0	0	0	3	3	3	3	1	Abnormality of the metacarpal bones	Syndactyly, Mesoaxial Synostotic, with Phalangeal Reduction
747105	C1836230	C1836231	CURATED	0	0	0	0	0	526	526	527	527	0.998102466793169	HIV-1, RESISTANCE TO	HUMAN IMMUNODEFICIENCY VIRUS TYPE 1, SUSCEPTIBILITY TO
747106	C1836230	C1836232	CURATED	0	0	0	0	0	526	526	527	527	0.998102466793169	ACQUIRED IMMUNODEFICIENCY SYNDROME, PROGRESSION TO	HUMAN IMMUNODEFICIENCY VIRUS TYPE 1, SUSCEPTIBILITY TO
747107	C1836230	C1836233	CURATED	0	0	0	0	0	526	526	527	527	0.998102466793169	AIDS, PROGRESSION TO	HUMAN IMMUNODEFICIENCY VIRUS TYPE 1, SUSCEPTIBILITY TO
747207	C1836231	C1836230	CURATED	0	0	0	0	0	526	527	526	527	0.998102466793169	HUMAN IMMUNODEFICIENCY VIRUS TYPE 1, SUSCEPTIBILITY TO	HIV-1, RESISTANCE TO
747208	C1836231	C1836232	CURATED	0	0	0	0	0	526	526	526	526	1	ACQUIRED IMMUNODEFICIENCY SYNDROME, PROGRESSION TO	HIV-1, RESISTANCE TO
747209	C1836231	C1836233	CURATED	0	0	0	0	0	526	526	526	526	1	AIDS, PROGRESSION TO	HIV-1, RESISTANCE TO
747309	C1836232	C1836230	CURATED	0	0	0	0	0	526	527	526	527	0.998102466793169	HUMAN IMMUNODEFICIENCY VIRUS TYPE 1, SUSCEPTIBILITY TO	ACQUIRED IMMUNODEFICIENCY SYNDROME, PROGRESSION TO
747310	C1836232	C1836231	CURATED	0	0	0	0	0	526	526	526	526	1	HIV-1, RESISTANCE TO	ACQUIRED IMMUNODEFICIENCY SYNDROME, PROGRESSION TO
747311	C1836232	C1836233	CURATED	0	0	0	0	0	526	526	526	526	1	AIDS, PROGRESSION TO	ACQUIRED IMMUNODEFICIENCY SYNDROME, PROGRESSION TO
747411	C1836233	C1836230	CURATED	0	0	0	0	0	526	527	526	527	0.998102466793169	HUMAN IMMUNODEFICIENCY VIRUS TYPE 1, SUSCEPTIBILITY TO	AIDS, PROGRESSION TO
747412	C1836233	C1836231	CURATED	0	0	0	0	0	526	526	526	526	1	HIV-1, RESISTANCE TO	AIDS, PROGRESSION TO
747413	C1836233	C1836232	CURATED	0	0	0	0	0	526	526	526	526	1	ACQUIRED IMMUNODEFICIENCY SYNDROME, PROGRESSION TO	AIDS, PROGRESSION TO
